municipality,state,code,variable,min_temperature,max_temperature
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de temperatura","14,24"
Aguascalientes,Aguascalientes,Coutput/pdfs/01001,"Rango de temperatura","16,20 "
Asientos,Aguascalientes,Coutput/pdfs/01002,"Rango de temperatura","16,18"
Calvillo,Aguascalientes,Coutput/pdfs/01003,"Rango de temperatura","14,22 "
Cosío,Aguascalientes,Coutput/pdfs/01004,"Rango de temperatura","14,18"
Jesús María,Aguascalientes,Coutput/pdfs/01005,"Rango de temperatura","14,20 "
Pabellón de Arteaga,Aguascalientes,Coutput/pdfs/01006,"Rango de temperatura","15,17 "
Rincón de Romos,Aguascalientes,Coutput/pdfs/01007,"Rango de temperatura","15,17 "
San José de Gracia,Aguascalientes,Coutput/pdfs/01008,"Rango de temperatura","12,18 "
Tepezalá,Aguascalientes,Coutput/pdfs/01009,"Rango de temperatura","16,18 "
El Llano,Aguascalientes,Coutput/pdfs/01010,"Rango de temperatura","15,17 "
San Francisco de los Romo,Aguascalientes,Coutput/pdfs/01011,"Rango de temperatura","16,20 "
Ensenada,Baja California,Coutput/pdfs/02001,"Rango de temperatura","6,22"
Mexicali,Baja California,Coutput/pdfs/02002,"Rango de temperatura","8,24"
Tecate,Baja California,Coutput/pdfs/02003,"Rango de temperatura","10,22"
Tijuana,Baja California,Coutput/pdfs/02004,"Rango de temperatura","14,16"
Playas de Rosarito,Baja California,Coutput/pdfs/02005,"Rango de temperatura","14,16"
Comondú,Baja California Sur,Coutput/pdfs/03001,"Rango de temperatura","16,22"
Mulegé,Baja California Sur,Coutput/pdfs/03002,"Rango de temperatura","14,24 "
La Paz,Baja California Sur,Coutput/pdfs/03003,"Rango de temperatura","14,24"
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de temperatura","14,24"
Loreto,Baja California Sur,Coutput/pdfs/03009,"Rango de temperatura","14,22"
Calkiní,Campeche,Coutput/pdfs/04001,"Rango de temperatura","26,28"
Campeche,Campeche,Coutput/pdfs/04002,"Rango de temperatura","26,28"
Carmen,Campeche,Coutput/pdfs/04003,"Rango de temperatura","26,28"
Champotón,Campeche,Coutput/pdfs/04004,"Rango de temperatura","26,28"
Hecelchakán,Campeche,Coutput/pdfs/04005,"Rango de temperatura","26,28"
Hopelchén,Campeche,Coutput/pdfs/04006,"Rango de temperatura","26,28"
Palizada,Campeche,Coutput/pdfs/04007,"Rango de temperatura","26,28"
Tenabo,Campeche,Coutput/pdfs/04008,"Rango de temperatura","26,28"
Escárcega,Campeche,Coutput/pdfs/04009,"Rango de temperatura","26,28"
Calakmul,Campeche,Coutput/pdfs/04010,"Rango de temperatura","24,28"
Candelaria,Campeche,Coutput/pdfs/04011,"Rango de temperatura","24,28"
Abasolo,Coahuila de Zaragoza,Coutput/pdfs/05001,"Rango de temperatura","16,24"
Acuña,Coahuila de Zaragoza,Coutput/pdfs/05002,"Rango de temperatura","12,22"
Allende,Coahuila de Zaragoza,Coutput/pdfs/05003,"Rango de temperatura","20,24"
Arteaga,Coahuila de Zaragoza,Coutput/pdfs/05004,"Rango de temperatura","8,20"
Candela,Coahuila de Zaragoza,Coutput/pdfs/05005,"Rango de temperatura","14,24"
Castaños,Coahuila de Zaragoza,Coutput/pdfs/05006,"Rango de temperatura","14,22"
Cuatro Ciénegas,Coahuila de Zaragoza,Coutput/pdfs/05007,"Rango de temperatura","12,22"
Escobedo,Coahuila de Zaragoza,Coutput/pdfs/05008,"Rango de temperatura","18,24"
Francisco I Madero,Coahuila de Zaragoza,Coutput/pdfs/05009,"Rango de temperatura","14,20"
Frontera,Coahuila de Zaragoza,Coutput/pdfs/05010,"Rango de temperatura","18,22"
General Cepeda,Coahuila de Zaragoza,Coutput/pdfs/05011,"Rango de temperatura","8,22"
Guerrero,Coahuila de Zaragoza,Coutput/pdfs/05012,"Rango de temperatura","20,24"
Hidalgo,Coahuila de Zaragoza,Coutput/pdfs/05013,"Rango de temperatura","20,24"
Jiménez,Coahuila de Zaragoza,Coutput/pdfs/05014,"Rango de temperatura","20,24"
Juárez,Coahuila de Zaragoza,Coutput/pdfs/05015,"Rango de temperatura","20,24"
Lamadrid,Coahuila de Zaragoza,Coutput/pdfs/05016,"Rango de temperatura","14,22"
Matamoros,Coahuila de Zaragoza,Coutput/pdfs/05017,"Rango de temperatura","18,22"
Monclova,Coahuila de Zaragoza,Coutput/pdfs/05018,"Rango de temperatura","14,22"
Morelos,Coahuila de Zaragoza,Coutput/pdfs/05019,"Rango de temperatura","20,24"
Múzquiz,Coahuila de Zaragoza,Coutput/pdfs/05020,"Rango de temperatura","14,22"
Nadadores,Coahuila de Zaragoza,Coutput/pdfs/05021,"Rango de temperatura","16,22"
Nava,Coahuila de Zaragoza,Coutput/pdfs/05022,"Rango de temperatura","20,24"
Ocampo,Coahuila de Zaragoza,Coutput/pdfs/05023,"Rango de temperatura","12,22"
Parras,Coahuila de Zaragoza,Coutput/pdfs/05024,"Rango de temperatura","12,22"
Piedras Negras,Coahuila de Zaragoza,Coutput/pdfs/05025,"Rango de temperatura","20,24"
Progreso,Coahuila de Zaragoza,Coutput/pdfs/05026,"Rango de temperatura","16,24"
Ramos Arizpe,Coahuila de Zaragoza,Coutput/pdfs/05027,"Rango de temperatura","12,22"
Sabinas,Coahuila de Zaragoza,Coutput/pdfs/05028,"Rango de temperatura","20,24"
Sacramento,Coahuila de Zaragoza,Coutput/pdfs/05029,"Rango de temperatura","18,22"
Saltillo,Coahuila de Zaragoza,Coutput/pdfs/05030,"Rango de temperatura","8,22"
San Buenaventura,Coahuila de Zaragoza,Coutput/pdfs/05031,"Rango de temperatura","14,22"
San Juan de Sabinas,Coahuila de Zaragoza,Coutput/pdfs/05032,"Rango de temperatura","20,24"
San Pedro,Coahuila de Zaragoza,Coutput/pdfs/05033,"Rango de temperatura","14,22"
Sierra Mojada,Coahuila de Zaragoza,Coutput/pdfs/05034,"Rango de temperatura","14,22"
Torreón,Coahuila de Zaragoza,Coutput/pdfs/05035,"Rango de temperatura","14,22"
Viesca,Coahuila de Zaragoza,Coutput/pdfs/05036,"Rango de temperatura","14,22"
Villa Unión,Coahuila de Zaragoza,Coutput/pdfs/05037,"Rango de temperatura","20,24"
Zaragoza,Coahuila de Zaragoza,Coutput/pdfs/05038,"Rango de temperatura","16,24"
Armería,Colima,Coutput/pdfs/06001,"Rango de temperatura","22,28"
Colima,Colima,Coutput/pdfs/06002,"Rango de temperatura","22,28"
Comala,Colima,Coutput/pdfs/06003,"Rango de temperatura","10,26"
Coquimatlán,Colima,Coutput/pdfs/06004,"Rango de temperatura","18,28"
Cuauhtémoc,Colima,Coutput/pdfs/06005,"Rango de temperatura","14,26"
Ixtlahuacán,Colima,Coutput/pdfs/06006,"Rango de temperatura","22,28"
Manzanillo,Colima,Coutput/pdfs/06007,"Rango de temperatura","18,28"
Minatitlán,Colima,Coutput/pdfs/06008,"Rango de temperatura","16,26"
Tecomán,Colima,Coutput/pdfs/06009,"Rango de temperatura","22,28"
Villa de Álvarez,Colima,Coutput/pdfs/06010,"Rango de temperatura","18,26"
Acacoyagua,Chiapas,Coutput/pdfs/07001,"Rango de temperatura","14,30"
Acala,Chiapas,Coutput/pdfs/07002,"Rango de temperatura","20,28"
Acapetahua,Chiapas,Coutput/pdfs/07003,"Rango de temperatura","26,30"
Altamirano,Chiapas,Coutput/pdfs/07004,"Rango de temperatura","16,26"
Amatán,Chiapas,Coutput/pdfs/07005,"Rango de temperatura","18,26"
Amatenango de la Frontera,Chiapas,Coutput/pdfs/07006,"Rango de temperatura","16,24"
Amatenango del Valle,Chiapas,Coutput/pdfs/07007,"Rango de temperatura","14,24"
Ángel Albino Corzo,Chiapas,Coutput/pdfs/07008,"Rango de temperatura","14,26"
Arriaga,Chiapas,Coutput/pdfs/07009,"Rango de temperatura","16,30"
Bejucal de Ocampo,Chiapas,Coutput/pdfs/07010,"Rango de temperatura","16,24"
Bella Vista,Chiapas,Coutput/pdfs/07011,"Rango de temperatura","16,26"
Berriozábal,Chiapas,Coutput/pdfs/07012,"Rango de temperatura","22,28"
Bochil,Chiapas,Coutput/pdfs/07013,"Rango de temperatura","18,28"
El Bosque,Chiapas,Coutput/pdfs/07014,"Rango de temperatura","16,26"
Cacahoatán,Chiapas,Coutput/pdfs/07015,"Rango de temperatura","10,26"
Catazajá,Chiapas,Coutput/pdfs/07016,"Rango de temperatura","24,26"
Cintalapa,Chiapas,Coutput/pdfs/07017,"Rango de temperatura","18,28"
Coapilla,Chiapas,Coutput/pdfs/07018,"Rango de temperatura","18,28"
Comitán de Domínguez,Chiapas,Coutput/pdfs/07019,"Rango de temperatura","14,26"
La Concordia,Chiapas,Coutput/pdfs/07020,"Rango de temperatura","14,26"
Copainalá,Chiapas,Coutput/pdfs/07021,"Rango de temperatura","20,28"
Chalchihuitán,Chiapas,Coutput/pdfs/07022,"Rango de temperatura","16,26"
Chamula,Chiapas,Coutput/pdfs/07023,"Rango de temperatura","12,20"
Chanal,Chiapas,Coutput/pdfs/07024,"Rango de temperatura","14,22"
Chapultenango,Chiapas,Coutput/pdfs/07025,"Rango de temperatura","20,26 "
Chenalhó,Chiapas,Coutput/pdfs/07026,"Rango de temperatura","16,26"
Chiapa de Corzo,Chiapas,Coutput/pdfs/07027,"Rango de temperatura","18,28"
Chiapilla,Chiapas,Coutput/pdfs/07028,"Rango de temperatura","22,28"
Chicoasén,Chiapas,Coutput/pdfs/07029,"Rango de temperatura","22,28"
Chicomuselo,Chiapas,Coutput/pdfs/07030,"Rango de temperatura","16,26"
Chilón,Chiapas,Coutput/pdfs/07031,"Rango de temperatura","18,26"
Escuintla,Chiapas,Coutput/pdfs/07032,"Rango de temperatura","14,30"
Francisco León,Chiapas,Coutput/pdfs/07033,"Rango de temperatura","20,26"
Frontera Comalapa,Chiapas,Coutput/pdfs/07034,"Rango de temperatura","20,26"
Frontera Hidalgo,Chiapas,Coutput/pdfs/07035,"Rango de temperatura","26,30"
La Grandeza,Chiapas,Coutput/pdfs/07036,"Rango de temperatura","14,20"
Huehuetán,Chiapas,Coutput/pdfs/07037,"Rango de temperatura","24,30"
Huixtán,Chiapas,Coutput/pdfs/07038,"Rango de temperatura","14,22"
Huitiupán,Chiapas,Coutput/pdfs/07039,"Rango de temperatura","18,26"
Huixtla,Chiapas,Coutput/pdfs/07040,"Rango de temperatura","20,30"
La Independencia,Chiapas,Coutput/pdfs/07041,"Rango de temperatura","16,24"
Ixhuatán,Chiapas,Coutput/pdfs/07042,"Rango de temperatura","16,26"
Ixtacomitán,Chiapas,Coutput/pdfs/07043,"Rango de temperatura","20,26"
Ixtapa,Chiapas,Coutput/pdfs/07044,"Rango de temperatura","16,24"
Ixtapangajoya,Chiapas,Coutput/pdfs/07045,"Rango de temperatura","22,26"
Jiquipilas,Chiapas,Coutput/pdfs/07046,"Rango de temperatura","16,26"
Jitotol,Chiapas,Coutput/pdfs/07047,"Rango de temperatura","16,28"
Juárez,Chiapas,Coutput/pdfs/07048,"Rango de temperatura","24,28"
Larráinzar,Chiapas,Coutput/pdfs/07049,"Rango de temperatura","12,24"
La Libertad,Chiapas,Coutput/pdfs/07050,"Rango de temperatura","24,26"
Mapastepec,Chiapas,Coutput/pdfs/07051,"Rango de temperatura","14,30"
Las Margaritas,Chiapas,Coutput/pdfs/07052,"Rango de temperatura","14,26"
Mazapa de Madero,Chiapas,Coutput/pdfs/07053,"Rango de temperatura","12,24"
Mazatán,Chiapas,Coutput/pdfs/07054,"Rango de temperatura","26,30"
Metapa,Chiapas,Coutput/pdfs/07055,"Rango de temperatura","26,28"
Mitontic,Chiapas,Coutput/pdfs/07056,"Rango de temperatura","14,20"
Motozintla,Chiapas,Coutput/pdfs/07057,"Rango de temperatura","12,26"
Nicolás Ruíz,Chiapas,Coutput/pdfs/07058,"Rango de temperatura","22,26"
Ocosingo,Chiapas,Coutput/pdfs/07059,"Rango de temperatura","18,28"
Ocotepec,Chiapas,Coutput/pdfs/07060,"Rango de temperatura","18,26"
Ocozocoautla de Espinosa,Chiapas,Coutput/pdfs/07061,"Rango de temperatura","20,28"
Ostuacán,Chiapas,Coutput/pdfs/07062,"Rango de temperatura","22,26"
Osumacinta,Chiapas,Coutput/pdfs/07063,"Rango de temperatura","20,28"
Oxchuc,Chiapas,Coutput/pdfs/07064,"Rango de temperatura","16,22"
Palenque,Chiapas,Coutput/pdfs/07065,"Rango de temperatura","22,28"
Pantelhó,Chiapas,Coutput/pdfs/07066,"Rango de temperatura","18,26"
Pantepec,Chiapas,Coutput/pdfs/07067,"Rango de temperatura","18,28"
Pichucalco,Chiapas,Coutput/pdfs/07068,"Rango de temperatura","20,28"
Pijijiapan,Chiapas,Coutput/pdfs/07069,"Rango de temperatura","16,30"
El Porvenir,Chiapas,Coutput/pdfs/07070,"Rango de temperatura","14,24"
Villa Comaltitlán,Chiapas,Coutput/pdfs/07071,"Rango de temperatura","22,30"
Pueblo Nuevo Solistahuacán,Chiapas,Coutput/pdfs/07072,"Rango de temperatura","16,26"
Rayón,Chiapas,Coutput/pdfs/07073,"Rango de temperatura","20,26"
Reforma,Chiapas,Coutput/pdfs/07074,"Rango de temperatura","24,28"
Las Rosas,Chiapas,Coutput/pdfs/07075,"Rango de temperatura","14,24"
Sabanilla,Chiapas,Coutput/pdfs/07076,"Rango de temperatura","18,26"
Salto de Agua,Chiapas,Coutput/pdfs/07077,"Rango de temperatura","20,28"
San Cristóbal de las Casas,Chiapas,Coutput/pdfs/07078,"Rango de temperatura","12,24"
San Fernando,Chiapas,Coutput/pdfs/07079,"Rango de temperatura","22,28"
Siltepec,Chiapas,Coutput/pdfs/07080,"Rango de temperatura","12,24"
Simojovel,Chiapas,Coutput/pdfs/07081,"Rango de temperatura","16,26"
Sitalá,Chiapas,Coutput/pdfs/07082,"Rango de temperatura","20,26"
Socoltenango,Chiapas,Coutput/pdfs/07083,"Rango de temperatura","20,26"
Solosuchiapa,Chiapas,Coutput/pdfs/07084,"Rango de temperatura","20,26"
Soyaló,Chiapas,Coutput/pdfs/07085,"Rango de temperatura","20,28"
Suchiapa,Chiapas,Coutput/pdfs/07086,"Rango de temperatura","20,26"
Suchiate,Chiapas,Coutput/pdfs/07087,"Rango de temperatura","26,30"
Sunuapa,Chiapas,Coutput/pdfs/07088,"Rango de temperatura","22,26"
Tapachula,Chiapas,Coutput/pdfs/07089,"Rango de temperatura","14,30"
Tapalapa,Chiapas,Coutput/pdfs/07090,"Rango de temperatura","18,26"
Tapilula,Chiapas,Coutput/pdfs/07091,"Rango de temperatura","18,26"
Tecpatán,Chiapas,Coutput/pdfs/07092,"Rango de temperatura","20,28"
Tenejapa,Chiapas,Coutput/pdfs/07093,"Rango de temperatura","12,22"
Teopisca,Chiapas,Coutput/pdfs/07094,"Rango de temperatura","12,24"
Tila,Chiapas,Coutput/pdfs/07096,"Rango de temperatura","16,28"
Tonalá,Chiapas,Coutput/pdfs/07097,"Rango de temperatura","14,30"
Totolapa,Chiapas,Coutput/pdfs/07098,"Rango de temperatura","20,28"
La Trinitaria,Chiapas,Coutput/pdfs/07099,"Rango de temperatura","18,26"
Tumbalá,Chiapas,Coutput/pdfs/07100,"Rango de temperatura","18,26"
Tuxtla Gutiérrez,Chiapas,Coutput/pdfs/07101,"Rango de temperatura","20,28"
Tuxtla Chico,Chiapas,Coutput/pdfs/07102,"Rango de temperatura","24,30"
Tuzantán,Chiapas,Coutput/pdfs/07103,"Rango de temperatura","20,30"
Tzimol,Chiapas,Coutput/pdfs/07104,"Rango de temperatura","18,26"
Unión Juárez,Chiapas,Coutput/pdfs/07105,"Rango de temperatura","10,26"
Venustiano Carranza,Chiapas,Coutput/pdfs/07106,"Rango de temperatura","16,26"
Villa Corzo,Chiapas,Coutput/pdfs/07107,"Rango de temperatura","14,26"
Villaflores,Chiapas,Coutput/pdfs/07108,"Rango de temperatura","14,26"
Yajalón,Chiapas,Coutput/pdfs/07109,"Rango de temperatura","16,26"
San Lucas,Chiapas,Coutput/pdfs/07110,"Rango de temperatura","18,26"
Zinacantán,Chiapas,Coutput/pdfs/07111,"Rango de temperatura","12,24"
San Juan Cancuc,Chiapas,Coutput/pdfs/07112,"Rango de temperatura","18,24"
Aldama,Chiapas,Coutput/pdfs/07113,"Rango de temperatura","16,24"
Benemérito de las Américas,Chiapas,Coutput/pdfs/07114,"Rango de temperatura","24,28"
Maravilla Tenejapa,Chiapas,Coutput/pdfs/07115,"Rango de temperatura","22,26"
Marqués de Comillas,Chiapas,Coutput/pdfs/07116,"Rango de temperatura","24,28"
Montecristo de Guerrero,Chiapas,Coutput/pdfs/07117,"Rango de temperatura","14,24"
San Andrés Duraznal,Chiapas,Coutput/pdfs/07118,"Rango de temperatura","16,26"
Santiago el Pinar,Chiapas,Coutput/pdfs/07119,"Rango de temperatura","16,24"
Ahumada,Chihuahua,Coutput/pdfs/08001,"Rango de temperatura","12,18"
Aldama,Chihuahua,Coutput/pdfs/08002,"Rango de temperatura","14,20 "
Allende,Chihuahua,Coutput/pdfs/08003,"Rango de temperatura","16,20"
Aquiles Serdán,Chihuahua,Coutput/pdfs/08004,"Rango de temperatura","16,20"
Ascensión,Chihuahua,Coutput/pdfs/08005,"Rango de temperatura","12,18"
Bachíniva,Chihuahua,Coutput/pdfs/08006,"Rango de temperatura","08,14"
Balleza,Chihuahua,Coutput/pdfs/08007,"Rango de temperatura","8,20"
Batopilas,Chihuahua,Coutput/pdfs/08008,"Rango de temperatura","10,26"
Bocoyna,Chihuahua,Coutput/pdfs/08009,"Rango de temperatura","08,22"
Buenaventura,Chihuahua,Coutput/pdfs/08010,"Rango de temperatura","8,18"
Camargo,Chihuahua,Coutput/pdfs/08011,"Rango de temperatura","14,20"
Carichí,Chihuahua,,Carichí,Chihuahua,Coutput/pdfs/08012,"Rango de temperatura","08,18"
Casas Grandes,Chih,Coutput/pdfs/08013,"Rango de temperatura","8,18"
Camargo,Chihuahua,Coutput/pdfs/08014,"Rango de temperatura","14,20"
Coyame del Sotol,Chihuahua,Coutput/pdfs/08015,"Rango de temperatura","14,20"
La Cruz,Chihuahua,Coutput/pdfs/08016,"Rango de temperatura","18,20"
Cuauhtémoc,Chihuahua,Coutput/pdfs/08017,"Rango de temperatura","12,20"
Cusihuiriachi,Chihuahua,Coutput/pdfs/08018,"Rango de temperatura","10,18"
Chihuahua,Chihuahua,Coutput/pdfs/08019,"Rango de temperatura","10,20"
Chinipas,Chihuahua,Coutput/pdfs/08020,"Rango de temperatura","14,24"
Delicias,Chihuahua,Coutput/pdfs/08021,"Rango de temperatura","18,20"
Doctor Belisario Domínguez,Chihuahua,Coutput/pdfs/08022,"Rango de temperatura","12,18"
Galeana,Chihuahua,Coutput/pdfs/08023,"Rango de temperatura","10,18"
Santa Isabel,Chihuahua,Coutput/pdfs/08024,"Rango de temperatura","12,18"
Gómez Farías,Chihuahua,Coutput/pdfs/08025,"Rango de temperatura","06,12"
Gran Morelos,Chihuahua,Coutput/pdfs/08026,"Rango de temperatura","12,18"
Guachochi,Chihuahua,Coutput/pdfs/08027,"Rango de temperatura","8,26"
Guadalupe,Chihuahua,Coutput/pdfs/08028,"Rango de temperatura","12,20"
Guadalupe y Calvo,Chihuahua,Coutput/pdfs/08029,"Rango de temperatura","08,26"
Guazapares,Chihuahua,Coutput/pdfs/08030,"Rango de temperatura","10,24"
Guerrero,Chihuahua,Coutput/pdfs/08031,"Rango de temperatura","8,16"
Hidalgo del Parral,Chihuahua,Coutput/pdfs/08032,"Rango de temperatura","14,20"
Huejotitán,Chihuahua,Coutput/pdfs/08033,"Rango de temperatura","12,20"
Ignacio Zaragoza,Chihuahua,Coutput/pdfs/08034,"Rango de temperatura","6,18"
Janos,Chihuahua,Coutput/pdfs/08035,"Rango de temperatura","10,18"
Jiménez,Chihuahua,Coutput/pdfs/08036,"Rango de temperatura","14,22"
Juárez,Chihuahua,Coutput/pdfs/08037,"Rango de temperatura","14,18"
Julimes,Chihuahua,Coutput/pdfs/08038,"Rango de temperatura","14,20"
López,Chihuahua,Coutput/pdfs/08039,"Rango de temperatura","18,20"
Madera,Chihuahua,Coutput/pdfs/08040,"Rango de temperatura","08,22"
Maguarichi,Chihuahua,Coutput/pdfs/08041,"Rango de temperatura","8,22"
Manuel Benavides,Chihuahua,Coutput/pdfs/08042,"Rango de temperatura","14,22"
Matachí,Chihuahua,Coutput/pdfs/08043,"Rango de temperatura","8,14"
Matamoros,Chihuahua,Coutput/pdfs/08044,"Rango de temperatura","12,18"
Meoqui,Chihuahua,Coutput/pdfs/08045,"Rango de temperatura","18,20"
Morelos,Chihuahua,Coutput/pdfs/08046,"Rango de temperatura","12,26"
Moris,Chihuahua,Coutput/pdfs/08047,"Rango de temperatura","10,22"
Namiquipa,Chihuahua,Coutput/pdfs/08048,"Rango de temperatura","6,16"
Nonoava,Chihuahua,Coutput/pdfs/08049,"Rango de temperatura","10,18"
Nuevo Casas Grandes,Chihuahua,Coutput/pdfs/08050,"Rango de temperatura","12,18"
Ocampo,Chihuahua,Coutput/pdfs/08051,"Rango de temperatura","08,22"
Ojinaga,Chihuahua,Coutput/pdfs/08052,"Rango de temperatura","14,22"
Praxedis G Guerrero,Chihuahua,Coutput/pdfs/08053,"Rango de temperatura","14,18"
Riva Palacio,Chihuahua,Coutput/pdfs/08054,"Rango de temperatura","10,18"
Rosales,Chihuahua,Coutput/pdfs/08055,"Rango de temperatura","14,20"
Rosario,Chihuahua,Coutput/pdfs/08056,"Rango de temperatura","10,20"
San Francisco de Borja,Chihuahua,Coutput/pdfs/08057,"Rango de temperatura","8,18"
San Francisco de Conchos,Coutput/pdfs/08058,"Rango de temperatura","18,20"
San Francisco del Oro,Chihuahua,Coutput/pdfs/08059,"Rango de temperatura","10,18"
Santa Bárbara,Chihuahua,Coutput/pdfs/08060,"Rango de temperatura","10,18C"
Satevó,Chihuahua,Coutput/pdfs/08061,"Rango de temperatura","12,20"
Saucillo,Chihuahua,Coutput/pdfs/08062,"Rango de temperatura","16,20"
Temósachi,Chihuahua,Coutput/pdfs/08063,"Rango de temperatura","8,18"
El Tule,Chihuahua,Coutput/pdfs/08064,"Rango de temperatura","12,18"
Urique,Chihuahua,Coutput/pdfs/08065,"Rango de temperatura","10,26"
Uruachi,Chihuahua,Coutput/pdfs/08066,"Rango de temperatura","14,24"
Valle de Zaragoza,Chihuahua,Coutput/pdfs/08067,"Rango de temperatura","16,20"
Azcapotzalco,Distrito Federal,Coutput/pdfs/09002,"Rango de temperatura","14,18"
Coyoacán,Distrito Federal,Coutput/pdfs/09003,"Rango de temperatura","14,18"
Cuajimalpa de Morelos,Distrito Federal,Coutput/pdfs/09004,"Rango de temperatura","6,14"
Gustavo A Madero,Distrito Federal,Coutput/pdfs/09005,"Rango de temperatura","12,18"
Iztacalco,Distrito Federal,Coutput/pdfs/09006,"Rango de temperatura","14,16"
Iztapalapa,Distrito Federal,Coutput/pdfs/09007,"Rango de temperatura","14,16"
La Magdalena Contreras,Distrito Federal,Coutput/pdfs/09008,"Rango de temperatura","6,16"
Milpa Alta,Distrito Federal,Coutput/pdfs/09009,"Rango de temperatura","6,16"
Álvaro Obregón,Distrito Federal,Coutput/pdfs/09010,"Rango de temperatura","6,18"
Tláhuac,Distrito Federal,Coutput/pdfs/09011,"Rango de temperatura","12,18"
Tlalpan,Distrito Federal,Coutput/pdfs/09012,"Rango de temperatura","6,16"
Xochimilco,Distrito Federal,Coutput/pdfs/09013,"Rango de temperatura","8,16"
Benito Juárez,Distrito Federal,Coutput/pdfs/09014,"Rango de temperatura","12,18"
Cuauhtémoc,Distrito Federal,Coutput/pdfs/09015,"Rango de temperatura","12,18"
Miguel Hidalgo,Distrito Federal,Coutput/pdfs/09016,"Rango de temperatura","12,18"
Venustiano Carranza,Distrito Federal,Coutput/pdfs/09017,"Rango de temperatura","12,18"
Canatlán,Durango,Coutput/pdfs/10001,"Rango de temperatura","08,18"
Canelas,Durango,Coutput/pdfs/10002,"Rango de temperatura","10,24"
Coneto de Comonfort,Durango,Coutput/pdfs/10003,"Rango de temperatura","10,20"
Cuencamé,Durango,Coutput/pdfs/10004,"Rango de temperatura","12,22"
Durango,Durango,Coutput/pdfs/10005,"Rango de temperatura","08,22"
Gral Simón Bolívar,Durango,Coutput/pdfs/10006,"Rango de temperatura","14,22"
Gómez Palacio,Durango,Coutput/pdfs/10007,"Rango de temperatura","18,22"
Guadalupe Victoria,Durango,Coutput/pdfs/10008,"Rango de temperatura","12,18"
Guanaceví,Durango,Coutput/pdfs/10009,"Rango de temperatura","08,20"
Hidalgo,Durango,Coutput/pdfs/10010,"Rango de temperatura","14,20"
Indé,Durango,Coutput/pdfs/10011,"Rango de temperatura","14,20"
Lerdo,Durango,Coutput/pdfs/10012,"Rango de temperatura","14,22"
Mapimí,Durango,Coutput/pdfs/10013,"Rango de temperatura","14,22"
Mezquital,Durango,Coutput/pdfs/10014,"Rango de temperatura","08,26"
Nazas,Durango,Coutput/pdfs/10015,"Rango de temperatura","14,24"
Nombre de Dios,Durango,Coutput/pdfs/10016,"Rango de temperatura","16,20"
Ocampo,Durango,Coutput/pdfs/10017,"Rango de temperatura","08,22"
El Oro,Durango,Coutput/pdfs/10018,"Rango de temperatura","10,20"
Otáez,Durango,Coutput/pdfs/10019,"Rango de temperatura","08,24"
Pánuco de Coronado,Durango,Coutput/pdfs/10020,"Rango de temperatura","12,18"
Peñón Blanco,Durango,Coutput/pdfs/10021,"Rango de temperatura","12,20"
Poanas,Durango,Coutput/pdfs/10022,"Rango de temperatura","12,18"
Pueblo Nuevo,Durango,Coutput/pdfs/10023,"Rango de temperatura","08,26"
Rodeo,Durango,Coutput/pdfs/10024,"Rango de temperatura","14,22"
San Bernardo,Durango,Coutput/pdfs/10025,"Rango de temperatura","10,18"
San Dimas,Durango,Coutput/pdfs/10026,"Rango de temperatura","08,26"
San Juan de Guadalupe,Durango,Coutput/pdfs/10027,"Rango de temperatura","16,22"
San Juan del Río,Durango,Coutput/pdfs/10028,"Rango de temperatura","14,22"
San Luis del Cordero,Durango,Coutput/pdfs/10029,"Rango de temperatura","16,22"
San Pedro del Gallo,Durango,Coutput/pdfs/10030,"Rango de temperatura","14,20"
Santa Clara,Durango,Coutput/pdfs/10031,"Rango de temperatura","14,20"
Santiago Papasquiaro,Durango,Coutput/pdfs/10032,"Rango de temperatura","08,26"
Súchil,Durango,Coutput/pdfs/10033,"Rango de temperatura","12,20"
Tamazula,Durango,Coutput/pdfs/10034,"Rango de temperatura","10,26"
Tepehuanes,Durango,Coutput/pdfs/10035,"Rango de temperatura","08,24"
Tlahualilo,Durango,Coutput/pdfs/10036,"Rango de temperatura","16,22"
Topia,Durango,Coutput/pdfs/10037,"Rango de temperatura","10,26"
Vicente Guerrero,Durango,Coutput/pdfs/10038,"Rango de temperatura","12,18"
Nuevo Ideal,Durango,Coutput/pdfs/10039,"Rango de temperatura","08,18"
Abasolo,Guanajuato,Coutput/pdfs/11001,"Rango de temperatura","16,22"
Acámbaro,Guanajuato,Coutput/pdfs/11002,"Rango de temperatura","10,20"
San Miguel de Allende,Guanajuato,Coutput/pdfs/11003,"Rango de temperatura","12,20"
Apaseo el Alto,Guanajuato,Coutput/pdfs/11004,"Rango de temperatura","14,20"
Apaseo el Grande,Guanajuato,Coutput/pdfs/11005,"Rango de temperatura","14,20"
Atarjea,Guanajuato,Coutput/pdfs/11006,"Rango de temperatura","14,22"
Celaya,Guanajuato,Coutput/pdfs/11007,"Rango de temperatura","14,20"
Manuel Doblado,Guanajuato,Coutput/pdfs/11008,"Rango de temperatura","16,20"
Comonfort,Guanajuato,Coutput/pdfs/11009,"Rango de temperatura","12,20"
Coroneo,Guanajuato,Coutput/pdfs/11010,"Rango de temperatura","12,18"
